year,county,zone_label,zone_code,seats,min_win_votes,min_win_cand,min_win_party,max_lose_votes,max_lose_cand,margin,n_cand
2014,宜蘭縣,宜蘭縣第01選區,10002-01,7,3754,楊順木,無黨籍,3580,莊淑如,174,14
2018,宜蘭縣,宜蘭縣第01選區,10002-01,7,2767,林麗,民主進步黨,2481,吳福田,286,18
2014,宜蘭縣,宜蘭縣第02選區,10002-02,2,5557,林東成,無黨籍,5349,陳秀暖,208,4
2018,宜蘭縣,宜蘭縣第02選區,10002-02,2,4529,賴良洲,無黨籍,3513,林金龍,1016,5
2014,宜蘭縣,宜蘭縣第03選區,10002-03,2,6870,吳宏謀,民主進步黨,6679,李清林,191,3
2018,宜蘭縣,宜蘭縣第03選區,10002-03,2,7160,吳宏謀,民主進步黨,3721,李志文,3439,4
2014,宜蘭縣,宜蘭縣第04選區,10002-04,2,5224,黃浴沂,中國國民黨,4127,張漢東,1097,5
2018,宜蘭縣,宜蘭縣第04選區,10002-04,2,7455,黃浴沂,中國國民黨,,,,2
2014,宜蘭縣,宜蘭縣第05選區,10002-05,2,5336,黃建勇,中國國民黨,4864,林水金,472,3
2018,宜蘭縣,宜蘭縣第05選區,10002-05,2,6234,陳福山,無黨籍,2044,游萬坊,4190,3
2014,宜蘭縣,宜蘭縣第06選區,10002-06,5,5013,陳鴻禧,中國國民黨,3464,謝志得,1549,6
2018,宜蘭縣,宜蘭縣第06選區,10002-06,5,3890,陳漢鍾,無黨籍,3747,謝家倫,143,11
2014,宜蘭縣,宜蘭縣第07選區,10002-07,3,4478,張明華,民主進步黨,3835,林朝旺,643,4
2018,宜蘭縣,宜蘭縣第07選區,10002-07,3,3903,簡松樹,民主進步黨,2614,沈信雄,1289,7
2014,宜蘭縣,宜蘭縣第08選區,10002-08,4,3594,薛呈懿,樹黨,3500,張建成,94,7
2018,宜蘭縣,宜蘭縣第08選區,10002-08,4,3419,張秋明,民主進步黨,3121,許美素,298,8
2014,宜蘭縣,宜蘭縣第09選區,10002-09,1,6847,陳文昌,民主進步黨,6505,李志鏞,342,2
2018,宜蘭縣,宜蘭縣第09選區,10002-09,1,6709,陳文昌,民主進步黨,6314,黃錫墉,395,2
2014,宜蘭縣,宜蘭縣第10選區,10002-10,3,4298,陳正男,無黨籍,4142,林騰煌,156,6
2018,宜蘭縣,宜蘭縣第10選區,10002-10,3,5222,林棋山,無黨籍,4632,邱嘉進,590,5
2022,屏東縣,屏東縣 三地門鄉・九如鄉・瑪家鄉・里港鄉…,,8,5736,葉明博,無黨籍,5542,張振亮,194,12
2022,屏東縣,屏東縣 佳冬鄉・南州鄉・崁頂鄉・林邊鄉,,4,5611,黃盈裕,無黨籍,5263,張榮傑,348,5
2022,屏東縣,屏東縣 來義鄉・內埔鄉・新埤鄉・春日鄉…,,10,6319,陳宗廷,無黨籍,6310,黃建溢,9,16
2022,屏東縣,屏東縣 屏東市,,12,4221,張平原,無黨籍,3956,方華雄,265,25
2022,屏東縣,屏東縣 恆春鎮・枋山鄉・滿州鄉・牡丹鄉…,,3,4976,盧玟欣,中國國民黨,4650,李建華,326,7
2022,屏東縣,屏東縣 新園鄉・東港鎮・萬丹鄉,,8,5373,方文正,民主進步黨,5276,呂少麒,97,13
2022,屏東縣,屏東縣 琉球鄉,,1,3970,王薇茗,無黨籍,2500,陳建興,1470,3
2014,屏東縣,屏東縣第01選區,10013-01,12,4448,蔣月惠,無黨籍,4051,王偉華,397,21
2018,屏東縣,屏東縣第01選區,10013-01,11,4541,林明順,無黨籍,4199,張金文,342,19
2014,屏東縣,屏東縣第02選區,10013-02,8,6833,陳明達,民主進步黨,6087,王景山,746,12
2018,屏東縣,屏東縣第02選區,10013-02,8,6809,何春美,中國國民黨,6553,江維屏,256,13
2014,屏東縣,屏東縣第03選區,10013-03,10,6271,潘淑眞,民主進步黨,5949,林宗俉,322,15
2018,屏東縣,屏東縣第03選區,10013-03,10,6135,劉淼松,無黨籍,5809,利八魁,326,16
2014,屏東縣,屏東縣第04選區,10013-04,7,5350,何輝能,民主進步黨,6821,盧同恊,-1471,12
2018,屏東縣,屏東縣第04選區,10013-04,8,3537,方文正,民主進步黨,4160,郭再添,-623,10
2014,屏東縣,屏東縣第05選區,10013-05,4,7511,羅平道,民主進步黨,6606,楊嘉慶,905,5
2018,屏東縣,屏東縣第05選區,10013-05,4,5323,林玉花,民主進步黨,4133,林韻濱,1190,6
2014,屏東縣,屏東縣第06選區,10013-06,3,6745,李志偉,民主進步黨,4870,葉明順,1875,5
2018,屏東縣,屏東縣第06選區,10013-06,3,5401,盧玟欣,中國國民黨,5034,周志仲,367,6
2014,屏東縣,屏東縣第07選區,10013-07,1,4468,洪慈綪,無黨籍,3417,王薇茗,1051,2
2018,屏東縣,屏東縣第07選區,10013-07,1,4803,王薇茗,無黨籍,1957,洪慈綪,2846,2
